STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,STATISTICAL_OPERATION,Statistical operation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,HSPA,HSPA,METHODOLOGY,Calculation methodology,TIME_RANGE,Time range,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,LVA,Latvia,A,Annual,CCRTNTSR,Rectal cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,_T,Total,OBS,Observed,2004,,35.8,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,NZL,New Zealand,A,Annual,CCLUNTSR,Lung cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2009,,13.7,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,NZL,New Zealand,A,Annual,CCLUNTSR,Lung cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2004,,11.9,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,HRV,Croatia,A,Annual,CCLKNTSR,Childhood acute lymphoblastic leukaemia five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_LE14,14 years or less,M,Male,OBS,Observed,2009,,87.1,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,HRV,Croatia,A,Annual,CCLKNTSR,Childhood acute lymphoblastic leukaemia five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_LE14,14 years or less,M,Male,OBS,Observed,2004,,76.9,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,NLD,Netherlands,A,Annual,CCLUNTSR,Lung cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2009,,16.7,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,NLD,Netherlands,A,Annual,CCLUNTSR,Lung cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2004,,12.8,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CHL,Chile,A,Annual,CCSTNTSR,Stomach cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2009,,19,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CHL,Chile,A,Annual,CCSTNTSR,Stomach cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2004,,16.1,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,LVA,Latvia,A,Annual,CCCLNTSR,Colon cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,_T,Total,OBS,Observed,2009,,43.8,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,LVA,Latvia,A,Annual,CCCLNTSR,Colon cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,_T,Total,OBS,Observed,2004,,40.5,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,DEU,Germany,A,Annual,CCLUNTSR,Lung cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2009,,20.6,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,DEU,Germany,A,Annual,CCLUNTSR,Lung cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2004,,17.9,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,LTU,Lithuania,A,Annual,CCSTNTSR,Stomach cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2009,,27.9,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,LTU,Lithuania,A,Annual,CCSTNTSR,Stomach cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2004,,24.5,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,USA,United States,A,Annual,CCLKNTSR,Childhood acute lymphoblastic leukaemia five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_LE14,14 years or less,F,Female,OBS,Observed,2009,,87.8,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,USA,United States,A,Annual,CCLKNTSR,Childhood acute lymphoblastic leukaemia five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_LE14,14 years or less,F,Female,OBS,Observed,2004,,87.6,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,FIN,Finland,A,Annual,CCRTNTSR,Rectal cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,M,Male,OBS,Observed,2009,,60.9,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,FIN,Finland,A,Annual,CCRTNTSR,Rectal cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,M,Male,OBS,Observed,2004,,58.3,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CHE,Switzerland,A,Annual,CCBRNTSR,Breast cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2009,,86.4,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CHE,Switzerland,A,Annual,CCBRNTSR,Breast cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2004,,84.4,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,BRA,Brazil,A,Annual,CCLKNTSR,Childhood acute lymphoblastic leukaemia five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_LE14,14 years or less,M,Male,OBS,Observed,2009,,66.3,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,SGP,Singapore,A,Annual,CCRTNTSR,Rectal cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2009,,63.9,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,SGP,Singapore,A,Annual,CCRTNTSR,Rectal cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2004,,55.9,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CAN,Canada,A,Annual,CCRTNTSR,Rectal cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2009,,67.5,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CAN,Canada,A,Annual,CCRTNTSR,Rectal cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2004,,63.3,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,PRT,Portugal,A,Annual,CCSTNTSR,Stomach cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2009,,36.7,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,PRT,Portugal,A,Annual,CCSTNTSR,Stomach cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2004,,33.8,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CZE,Czechia,A,Annual,CCLKNTSR,Childhood acute lymphoblastic leukaemia five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_LE14,14 years or less,F,Female,OBS,Observed,2009,,88.8,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CZE,Czechia,A,Annual,CCLKNTSR,Childhood acute lymphoblastic leukaemia five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_LE14,14 years or less,F,Female,OBS,Observed,2004,,92.5,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CAN,Canada,A,Annual,CCRTNTSR,Rectal cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,M,Male,OBS,Observed,2009,,63.7,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CAN,Canada,A,Annual,CCRTNTSR,Rectal cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,M,Male,OBS,Observed,2004,,60.3,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,LTU,Lithuania,A,Annual,CCCVNTSR,Cervical cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2009,,59.1,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,LTU,Lithuania,A,Annual,CCCVNTSR,Cervical cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2004,,53.8,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,ITA,Italy,A,Annual,CCCLNTSR,Colon cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,M,Male,OBS,Observed,2009,,64.2,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,ITA,Italy,A,Annual,CCCLNTSR,Colon cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,M,Male,OBS,Observed,2004,,58.7,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,IND,India,A,Annual,CCCVNTSR,Cervical cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2009,,51.6,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,IND,India,A,Annual,CCCVNTSR,Cervical cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2004,,45.2,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,AUS,Australia,A,Annual,CCRTNTSR,Rectal cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2009,,70.6,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,AUS,Australia,A,Annual,CCRTNTSR,Rectal cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2004,,66.6,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,NLD,Netherlands,A,Annual,CCRTNTSR,Rectal cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2009,,64.1,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,NLD,Netherlands,A,Annual,CCRTNTSR,Rectal cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2004,,58.7,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,BGR,Bulgaria,A,Annual,CCLKNTSR,Childhood acute lymphoblastic leukaemia five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_LE14,14 years or less,M,Male,OBS,Observed,2009,,71.6,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
